,importance,stddev,p_value,n,p99_high,p99_low
dns_an_168,0.0,0.0,0.5,5,0.0,0.0
dns_qd_725,0.0,0.0,0.5,5,0.0,0.0
dns_an_139,0.0,0.0,0.5,5,0.0,0.0
dns_identifacation_2,0.0,0.0,0.5,5,0.0,0.0
dns_an_142,0.0,0.0,0.5,5,0.0,0.0
dns_an_138,0.0,0.0,0.5,5,0.0,0.0
dns_an_143,0.0,0.0,0.5,5,0.0,0.0
dns_qd_728,0.0,0.0,0.5,5,0.0,0.0
dns_an_137,0.0,0.0,0.5,5,0.0,0.0
dns_an_136,0.0,0.0,0.5,5,0.0,0.0
dns_an_165,0.0,0.0,0.5,5,0.0,0.0
dns_an_144,0.0,0.0,0.5,5,0.0,0.0
dns_identifacation_0,0.0,0.0,0.5,5,0.0,0.0
ip_src_29,0.0,0.0,0.5,5,0.0,0.0
udp_chksum_7,0.0,0.0,0.5,5,0.0,0.0
udp_sport_3,0.0,0.0,0.5,5,0.0,0.0
dns_qd_720,0.0,0.0,0.5,5,0.0,0.0
dns_qd_737,0.0,0.00020000000000003346,0.5,5,0.0004118027642938328,-0.0004118027642938328
dns_qd_736,0.0,0.0,0.5,5,0.0,0.0
dns_an_133,0.0,0.0,0.5,5,0.0,0.0
dns_an_134,0.0,0.0,0.5,5,0.0,0.0
udp_chksum_10,0.0,0.0,0.5,5,0.0,0.0
dns_an_145,0.0,0.0,0.5,5,0.0,0.0
dns_qd_734,0.0,0.0,0.5,5,0.0,0.0
dns_an_135,0.0,0.0,0.5,5,0.0,0.0
dns_an_140,0.0,0.0,0.5,5,0.0,0.0
dns_qd_58,-2.2204460492503132e-17,0.00014142135623733317,0.5000000000001317,5,0.00029118852714351244,-0.0002911885271435569
dns_qd_730,-2.2204460492503132e-17,0.00028284271247460747,0.5000000000000658,5,0.0005823770542869259,-0.0005823770542869703
dns_qd_213,-2.2204460492503132e-17,0.0003162277660168382,0.500000000000059,5,0.0006511173409608556,-0.0006511173409609
dns_qd_1,-2.2204460492503132e-17,0.0003162277660168382,0.500000000000059,5,0.0006511173409608556,-0.0006511173409609
dns_qd_90,-2.2204460492503132e-17,0.0002449489742783135,0.5000000000000759,5,0.0005043533235936356,-0.0005043533235936801
dns_qd_266,-2.2204460492503132e-17,0.0003741657386773678,0.5000000000000497,5,0.0007704124274567685,-0.0007704124274568129
udp_sport_9,-2.2204460492503132e-17,0.00014142135623733317,0.5000000000001317,5,0.00029118852714351244,-0.0002911885271435569
dns_qd_264,-2.2204460492503132e-17,0.00031622776601682065,0.500000000000059,5,0.0006511173409608194,-0.0006511173409608638
dns_qd_238,-2.2204460492503132e-17,0.00031622776601682065,0.500000000000059,5,0.0006511173409608194,-0.0006511173409608638
